OrderID,CurrentClinicName1,CurrentClinicName2,CurrentClinicCity,CurrentClinicState,MedicalDirector,ND_NumIntentRet1,ND_NumIntentRet2,ND_NumIntentRet3,ND_NumIntentRet4,ND_IntentRetLB1,ND_IntentRetLB2,ND_IntentRetLB3,ND_IntentRetLB4,ND_IntentRetSingleLB1,ND_IntentRetSingleLB2,ND_IntentRetSingleLB3,ND_IntentRetSingleLB4,ND_NumRetrieve1,ND_NumRetrieve2,ND_NumRetrieve3,ND_NumRetrieve4,ND_RetrieveLB1,ND_RetrieveLB2,ND_RetrieveLB3,ND_RetrieveLB4,ND_RetrieveSingleLB1,ND_RetrieveSingleLB2,ND_RetrieveSingleLB3,ND_RetrieveSingleLB4,ND_NumTrans1,ND_NumTrans2,ND_NumTrans3,ND_NumTrans4,ND_TransLB1,ND_TransLB2,ND_TransLB3,ND_TransLB4,ND_TransSingleLB1,ND_TransSingleLB2,ND_TransSingleLB3,ND_TransSingleLB4,ND_IntentRetPerLB1,ND_IntentRetPerLB2,ND_IntentRetPerLB3,ND_IntentRetPerLB4,NewND_1IntentRetLB1,NewND_1IntentRetLB2,NewND_1IntentRetLB3,NewND_1IntentRetLB4,NewND_2IntentRetLB1,NewND_2IntentRetLB2,NewND_2IntentRetLB3,NewND_2IntentRetLB4,NewND_AllIntentRetLB1,NewND_AllIntentRetLB2,NewND_AllIntentRetLB3,NewND_AllIntentRetLB4,NewND_IntentRetPerNew1,NewND_IntentRetPerNew2,NewND_IntentRetPerNew3,NewND_IntentRetPerNew4,NewND_TransPerIntentRet1,NewND_TransPerIntentRet2,NewND_TransPerIntentRet3,NewND_TransPerIntentRet4,Donor_NumTrans1,Donor_NumTrans2,Donor_NumTrans3,Donor_NumTrans4,Donor_TransLB1,Donor_TransLB2,Donor_TransLB3,Donor_TransLB4,Donor_TranSingleLB1,Donor_TranSingleLB2,Donor_TranSingleLB3,Donor_TranSingleLB4,TotNumCycles1,TotNumCycles2,TotNumCycles3,TotNumCycles4,TotNumCyclesAll,CycleCancel1,CycleCancel2,CycleCancel3,CycleCancel4,CycleCancelAll,CycleStop1,CycleStop2,CycleStop3,CycleStop4,CycleStopAll,CycleFertPres1,CycleFertPres2,CycleFertPres3,CycleFertPres4,CycleFertPresAll,TransCarrier1,TransCarrier2,TransCarrier3,TransCarrier4,TransCarrierAll,TransFrozEmb1,TransFrozEmb2,TransFrozEmb3,TransFrozEmb4,TransFrozEmbAll,TransICSI1,TransICSI2,TransICSI3,TransICSI4,TransICSIAll,TransPGT1,TransPGT2,TransPGT3,TransPGT4,TransPGTAll,ReasonMale,ReasonEndo,ReasonTubal,ReasonOvul,ReasonUterine,ReasonPGT,ReasonCarrier,ReasonDOR,ReasonBank,ReasonPregLoss,ReasonOtherInfert,ReasonNonInfert,ReasonUnexplained,DonorEggService,DonatedEmbryoService,EmbryoCryoService,EggCryoService,GestCarrierService,SARTmember,LabAccred,NumResearch,CurrentStateAbbrev
209,BRIGHAM AND WOMEN'S HOSPITAL CENTER FOR ASSISTED REPRODUCTIVE TECHNOLOGY,,BOSTON,MASSACHUSETTS,"Elizabeth S. Ginsburg, MD",408,261,288,202,56.9%,42.1%,27.8%,16.8%,52.9%,39.1%,24.3%,14.9%,394,252,274,191,58.9%,43.7%,29.2%,17.8%,54.8%,40.5%,25.5%,15.7%,483,292,254,162,48.0%,37.7%,31.5%,21.0%,44.7%,34.9%,27.6%,18.5%,1.8,2.4,3.6,5.9,67.6%,45.4%,29.8%,13.8%,72.3%,52.0%,35.1%,22.5%,74.1%,54.6%,37.4%,23.8%,1.2,1.2,1.4,1.5,1.2,1.2,0.8,0.8,12,14,42,0,10 / 12,11 / 14,52.4%,,10 / 12,10 / 14,50.0%,,786,554,456,318,"2,114",2.3%,5.4%,6.1%,8.1%,4.8%,4.6%,6.7%,9.1%,10.6%,7.0%,8.5%,6.9%,6.8%,3.1%,6.9%,1.5%,1.1%,1.8%,3.3%,1.7%,62.8%,72.7%,62.5%,48.8%,63.2%,35.5%,32.9%,39.6%,46.9%,37.4%,19.0%,21.7%,20.7%,10.0%,18.7%,23%,7%,8%,9%,2%,23%,0%,32%,27%,0%,39%,0%,14%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,MA
210,MASSACHUSETTS GENERAL HOSPITAL FERTILITY CENTER,,BOSTON,MASSACHUSETTS,"John C. Petrozza, MD",281,164,163,97,55.5%,40.9%,35.0%,17.5%,53.0%,40.2%,30.7%,13.4%,267,157,148,87,58.4%,42.7%,38.5%,19.5%,55.8%,42.0%,33.8%,14.9%,324,184,150,66,48.1%,36.4%,38.0%,25.8%,46.0%,35.9%,33.3%,19.7%,1.8,2.4,2.9,5.7,60.1%,41.2%,39.2%,16.1%,68.0%,48.5%,43.0%,25.8%,69.7%,49.5%,43.0%,25.8%,1.2,1.2,1.2,1.5,1.2,1.1,0.9,0.6,*,28,30,0,* / *,53.6%,46.7%,,* / *,50.0%,46.7%,,464,364,295,184,"1,307",4.4%,7.0%,8.5%,4.6%,6.1%,5.8%,4.6%,6.1%,6.1%,5.5%,10.3%,10.4%,5.1%,1.1%,7.9%,0.9%,0.4%,0.5%,3.4%,1.1%,58.5%,65.1%,58.4%,44.1%,58.0%,86.7%,89.2%,85.8%,90.3%,87.8%,18.6%,23.3%,18.9%,14.5%,19.3%,42%,5%,9%,13%,5%,6%,1%,23%,23%,2%,10%,1%,13%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,MA
211,"FERTILITY SOLUTIONS, PC",,DEDHAM,MASSACHUSETTS,"Ania Kowalik, MD",112,90,101,45,52.7%,40.0%,12.9%,20.0%,50.0%,34.4%,12.9%,17.8%,108,78,85,38,54.6%,46.2%,15.3%,23.7%,51.9%,39.7%,15.3%,21.1%,155,117,93,38,38.1%,30.8%,14.0%,23.7%,36.1%,26.5%,14.0%,21.1%,1.9,2.5,7.8,5.0,56.8%,38.3%,16.7%,* / 15,63.5%,40.4%,16.7%,* / 15,64.9%,40.4%,19.0%,* / 15,1.2,1.1,1.4,1.2,1.4,1.3,0.9,0.8,*,11,12,*,* / *,5 / 11,5 / 12,* / *,* / *,* / 11,5 / 12,* / *,198,175,147,104,624,3.3%,17.3%,15.2%,17.4%,11.6%,7.2%,8.1%,11.1%,15.6%,9.7%,2.5%,2.3%,1.4%,0.0%,1.8%,0.0%,0.7%,0.9%,2.7%,0.9%,50.4%,62.5%,58.9%,52.7%,56.4%,49.6%,44.9%,43.0%,50.0%,46.7%,7.9%,7.4%,11.2%,5.4%,8.1%,33%,4%,12%,15%,6%,3%,<1%,31%,13%,8%,5%,1%,17%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,MA
212,CCRM BOSTON,,NEWTON,MASSACHUSETTS,"Alison E. Zimon, MD",139,98,137,99,60.4%,52.0%,38.0%,21.2%,59.0%,50.0%,37.2%,20.2%,136,93,120,93,61.8%,54.8%,43.3%,22.6%,60.3%,52.7%,42.5%,21.5%,139,81,73,35,60.4%,63.0%,71.2%,60.0%,59.0%,60.5%,69.9%,57.1%,1.7,1.9,2.6,4.7,65.3%,56.9%,35.2%,20.0%,70.5%,66.2%,49.3%,28.0%,72.6%,67.7%,53.5%,28.0%,1.1,1.2,1.4,1.3,1.0,0.8,0.5,0.4,*,*,28,0,* / *,* / *,67.9%,,* / *,* / *,64.3%,,334,248,254,192,"1,028",2.8%,2.7%,4.5%,7.0%,4.1%,7.6%,8.6%,17.4%,22.4%,13.0%,7.5%,9.7%,8.7%,7.8%,8.4%,2.0%,5.9%,4.3%,4.8%,3.9%,94.7%,97.0%,97.8%,90.3%,95.3%,90.0%,88.1%,86.0%,66.1%,85.0%,82.0%,90.1%,86.0%,79.0%,84.5%,25%,3%,2%,8%,3%,4%,<1%,32%,57%,11%,7%,1%,21%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,MA
213,"FERTILITY CENTERS OF NEW ENGLAND, INC.","NEW ENGLAND CLINICS OF REPRODUCTIVE MEDICINE, INC.",READING,MASSACHUSETTS,"Danielle Vitiello, MD, PhD",376,223,177,107,51.1%,42.2%,24.3%,15.9%,49.2%,39.5%,20.9%,14.0%,359,214,163,95,53.5%,43.9%,26.4%,17.9%,51.5%,41.1%,22.7%,15.8%,404,220,115,59,47.5%,42.7%,37.4%,28.8%,45.8%,40.0%,32.2%,25.4%,2.0,2.4,4.1,6.3,56.5%,45.3%,29.6%,12.2%,62.7%,55.5%,38.3%,19.5%,63.1%,57.8%,40.7%,22.0%,1.2,1.3,1.5,1.5,1.1,1.1,0.6,0.4,0,22,33,10,,50.0%,30.3%,5 / 10,,50.0%,30.3%,* / 10,621,354,325,205,"1,505",2.3%,2.8%,4.3%,14.0%,4.4%,21.7%,22.1%,20.5%,22.0%,21.5%,2.1%,2.5%,1.8%,0.0%,1.9%,0.2%,0.4%,0.6%,4.1%,0.8%,68.5%,68.0%,66.9%,68.3%,68.0%,59.5%,49.8%,65.2%,65.0%,58.9%,7.1%,9.5%,19.9%,27.6%,12.7%,30%,5%,9%,10%,1%,3%,<1%,33%,13%,8%,7%,<1%,24%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,MA
214,BAYSTATE REPRODUCTIVE MEDICINE,,SPRINGFIELD,MASSACHUSETTS,"Kelly Lynch, MD",124,54,58,42,55.6%,50.0%,46.6%,14.3%,50.0%,48.1%,39.7%,14.3%,118,48,46,35,58.5%,56.3%,58.7%,17.1%,52.5%,54.2%,50.0%,17.1%,145,52,47,26,47.6%,51.9%,57.4%,23.1%,42.8%,50.0%,48.9%,23.1%,1.8,2.0,2.1,7.0,63.0%,51.3%,48.4%,* / 18,67.9%,53.8%,58.1%,* / 18,67.9%,53.8%,61.3%,5 / 18,1.2,1.1,1.4,1.7,1.1,0.9,0.9,0.6,*,7,7,*,0 / *,* / 7,* / 7,0 / *,0 / *,* / 7,* / 7,0 / *,284,157,126,83,650,2.9%,9.7%,4.8%,12.0%,6.2%,22.9%,24.7%,28.5%,28.6%,25.1%,2.8%,0.0%,0.8%,1.2%,1.5%,1.0%,0.0%,1.3%,2.1%,1.0%,67.7%,66.3%,58.8%,50.0%,63.6%,45.8%,43.9%,43.8%,31.3%,43.3%,7.3%,9.2%,7.5%,6.3%,7.7%,31%,4%,14%,20%,3%,7%,0%,27%,10%,5%,13%,3%,18%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,MA
215,"BOSTON IVF, LLC",,WALTHAM,MASSACHUSETTS,"Michael M Alper, MD","1,304",931,899,559,55.6%,39.5%,29.0%,12.5%,53.1%,36.6%,27.1%,11.3%,"1,265",884,816,509,57.3%,41.6%,32.0%,13.8%,54.7%,38.6%,29.9%,12.4%,"1,571",923,714,276,46.1%,39.9%,36.6%,25.4%,44.0%,36.9%,34.2%,22.8%,1.8,2.5,3.4,8.0,59.4%,46.1%,34.4%,16.0%,67.0%,53.7%,41.8%,18.1%,68.6%,56.0%,44.3%,19.7%,1.2,1.3,1.4,1.5,1.2,1.0,0.8,0.5,15,130,253,*,9 / 15,53.8%,39.5%,0 / *,8 / 15,50.0%,36.4%,0 / *,"2,435","1,835","1,534","1,135","6,939",3.6%,5.5%,6.9%,9.8%,5.9%,14.4%,13.5%,14.1%,20.5%,15.1%,3.5%,4.2%,2.7%,0.7%,3.1%,0.9%,0.4%,2.3%,3.3%,1.4%,65.9%,68.1%,67.5%,58.6%,65.8%,41.9%,44.4%,41.3%,45.2%,42.9%,25.2%,34.4%,37.6%,26.3%,30.4%,29%,6%,12%,14%,4%,41%,1%,20%,23%,10%,52%,0%,11%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,MA
216,UNIVERSITY OF MICHIGAN CENTER FOR REPRODUCTIVE MEDICINE,,ANN ARBOR,MICHIGAN,"Marie Menke, MD",141,107,73,38,52.5%,43.0%,27.4%,7.9%,48.9%,41.1%,26.0%,7.9%,133,100,63,33,55.6%,46.0%,31.7%,9.1%,51.9%,44.0%,30.2%,9.1%,165,84,40,11,44.8%,54.8%,50.0%,* / 11,41.8%,52.4%,47.5%,* / 11,1.9,2.3,3.7,12.7,54.1%,37.3%,32.3%,0.0%,58.2%,50.8%,38.7%,4.8%,59.2%,50.8%,45.2%,4.8%,1.1,1.2,1.5,1.2,1.2,0.8,0.5,0.2,0,8,17,0,,* / 8,6 / 17,,,* / 8,6 / 17,,259,197,160,77,693,3.8%,14.1%,17.9%,25.0%,12.9%,6.7%,4.9%,10.6%,10.6%,7.5%,6.9%,2.5%,4.4%,3.9%,4.8%,3.7%,1.7%,3.3%,0.0%,2.6%,73.6%,79.5%,80.3%,73.0%,76.5%,79.1%,76.1%,65.6%,59.5%,74.1%,33.1%,58.1%,57.4%,54.1%,46.8%,33%,9%,12%,26%,5%,2%,1%,28%,32%,7%,10%,3%,19%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,MI
217,IVF MICHIGAN FERTILITY CENTERS,,BLOOMFIELD HILLS,MICHIGAN,"Ahmad O. Hammoud, MD",404,165,152,77,60.6%,41.8%,27.6%,9.1%,45.3%,35.2%,23.7%,9.1%,403,156,147,70,60.8%,44.2%,28.6%,10.0%,45.4%,37.2%,24.5%,10.0%,449,131,94,24,54.6%,52.7%,44.7%,29.2%,40.8%,44.3%,38.3%,29.2%,1.6,2.4,3.6,11.0,63.4%,41.6%,30.7%,12.5%,65.8%,46.9%,38.6%,14.6%,66.4%,48.7%,40.9%,14.6%,1.1,1.2,1.4,1.2,1.1,0.8,0.7,0.3,27,17,72,8,44.4%,9 / 17,45.8%,* / 8,25.9%,8 / 17,36.1%,* / 8,859,357,261,214,"1,691",1.8%,5.8%,2.8%,10.4%,3.9%,12.7%,8.4%,9.3%,13.9%,11.4%,2.4%,4.2%,1.5%,1.4%,2.5%,1.0%,3.0%,0.7%,4.5%,1.8%,81.4%,85.6%,79.0%,66.7%,80.2%,95.5%,89.1%,92.0%,78.4%,91.6%,48.3%,55.0%,55.8%,28.8%,48.6%,52%,5%,10%,16%,3%,5%,<1%,25%,33%,7%,15%,5%,4%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,MI
218,MICHIGAN REPRODUCTIVE MEDICINE,,BLOOMFIELD HILLS,MICHIGAN,"Michael S. Mersol-Barg, MD",64,43,27,19,40.6%,27.9%,25.9%,0 / 19,40.6%,25.6%,22.2%,0 / 19,56,40,25,18,46.4%,30.0%,28.0%,0 / 18,46.4%,27.5%,24.0%,0 / 18,65,40,18,*,40.0%,30.0%,7 / 18,0 / *,40.0%,27.5%,6 / 18,0 / *,2.5,3.6,3.9,,47.6%,50.0%,* / 14,0 / 9,57.1%,55.0%,5 / 14,0 / 9,57.1%,55.0%,5 / 14,0 / 9,1.1,1.3,1.4,1.2,1.1,1.1,0.7,0.2,0,22,20,*,,40.9%,20.0%,0 / *,,40.9%,20.0%,0 / *,129,91,55,60,335,11.1%,4.5%,10.0%,14.3%,9.6%,4.1%,3.4%,11.5%,22.8%,8.5%,7.0%,11.0%,7.3%,0.0%,6.9%,0.0%,0.0%,0.0%,0.0%,0.0%,64.6%,72.7%,70.0%,61.8%,67.2%,100.0%,98.2%,96.7%,100.0%,99.0%,22.0%,36.4%,40.0%,14.7%,27.4%,20%,7%,6%,16%,2%,5%,0%,33%,31%,3%,2%,7%,16%,Yes,No,Yes,Yes,Yes,No,Yes,0,MI
219,GAGO IVF,,BRIGHTON,MICHIGAN,"Laura A. Gago, MD",57,29,24,17,56.1%,37.9%,20.8%,0 / 17,47.4%,37.9%,20.8%,0 / 17,56,29,22,16,57.1%,37.9%,22.7%,0 / 16,48.2%,37.9%,22.7%,0 / 16,53,12,13,*,60.4%,11 / 12,5 / 13,0 / *,50.9%,11 / 12,5 / 13,0 / *,1.8,2.6,4.8,,56.8%,7 / 19,* / 13,0 / 6,63.6%,9 / 19,* / 13,0 / 6,65.9%,10 / 19,* / 13,0 / 6,1.1,1.2,1.4,1.0,1.0,0.5,0.5,0.2,0,*,18,8,,* / *,7 / 18,* / 8,,* / *,7 / 18,* / 8,172,78,48,28,326,0.0%,5.4%,* / 17,0 / 12,2.1%,5.8%,6.6%,10.6%,7.1%,6.8%,3.5%,1.3%,0.0%,0.0%,2.1%,0.0%,0.0%,0.0%,0 / 14,0.0%,100.0%,97.5%,96.7%,13 / 14,98.2%,85.1%,85.0%,70.0%,9 / 14,80.7%,88.5%,87.5%,86.7%,12 / 14,87.7%,36%,16%,8%,19%,2%,5%,0%,32%,40%,11%,17%,5%,3%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,MI
220,"MICHIGAN REPRODUCTIVE & IVF CENTER, PC",,GRAND RAPIDS,MICHIGAN,"William G. Dodds, MD",267,159,70,76,57.3%,32.7%,21.4%,3.9%,46.4%,27.7%,18.6%,3.9%,253,142,60,61,60.5%,36.6%,25.0%,4.9%,49.0%,31.0%,21.7%,4.9%,321,142,54,29,47.7%,36.6%,27.8%,10.3%,38.6%,31.0%,24.1%,10.3%,1.7,3.1,4.7,25.3,62.6%,37.8%,23.5%,9.1%,66.7%,42.7%,26.5%,9.1%,67.7%,45.1%,35.3%,9.1%,1.1,1.4,1.6,2.2,1.2,0.9,0.7,0.4,10,0,18,37,7 / 10,,8 / 18,29.7%,* / 10,,8 / 18,24.3%,510,246,186,104,"1,046",7.6%,9.2%,14.7%,9.6%,9.5%,12.8%,14.0%,14.0%,12.1%,13.2%,1.2%,2.0%,0.5%,0.0%,1.1%,0.8%,0.0%,2.5%,2.9%,1.1%,62.5%,64.9%,71.4%,71.0%,65.3%,94.7%,94.0%,88.2%,73.9%,91.6%,5.3%,7.7%,4.2%,7.2%,5.9%,39%,14%,16%,16%,3%,10%,<1%,28%,15%,13%,15%,2%,6%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,MI
221,"IVF MICHIGAN ROCHESTER HILLS & FLINT, PC",,ROCHESTER HILLS,MICHIGAN,"Mostafa I. Abuzeid, MD",166,86,61,29,54.2%,33.7%,19.7%,17.2%,33.7%,24.4%,11.5%,13.8%,141,75,47,17,63.8%,38.7%,25.5%,5 / 17,39.7%,28.0%,14.9%,* / 17,151,69,46,13,59.6%,42.0%,26.1%,5 / 13,37.1%,30.4%,15.2%,* / 13,1.8,3.0,5.1,5.8,62.2%,36.4%,14.8%,* / 10,68.4%,43.2%,14.8%,* / 10,69.4%,45.5%,14.8%,* / 10,1.1,1.3,1.2,1.6,1.0,0.9,0.8,0.4,0,0,0,0,,,,,,,,,179,91,70,43,383,15.4%,17.8%,21.1%,23.1%,18.0%,8.9%,6.4%,13.8%,8.8%,9.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,27.2%,23.9%,22.4%,13.3%,24.1%,94.9%,98.6%,100.0%,96.7%,96.9%,3.7%,5.6%,2.0%,0.0%,3.5%,55%,28%,23%,22%,44%,3%,0%,30%,3%,4%,8%,<1%,1%,No,No,Yes,No,No,Yes,Yes,0,MI
222,WAYNE HEALTH,,SOUTHFIELD,MICHIGAN,"Awoniyi O. Awonuga, MD",5,*,*,*,* / 5,* / *,* / *,0 / *,* / 5,* / *,* / *,0 / *,*,*,*,*,* / *,* / *,* / *,0 / *,* / *,* / *,* / *,0 / *,6,*,*,0,* / 6,* / *,* / *,,* / 6,* / *,* / *,,2.5,1.0,1.0,,* / 5,* / *,* / *,0 / *,* / 5,* / *,* / *,0 / *,* / 5,* / *,* / *,0 / *,1.0,1.0,1.0,1.0,1.2,2.0,1.0,0.0,0,0,*,0,,,* / *,,,,* / *,,7,*,*,*,14,* / *,,0 / *,,* / 5,0 / 6,0 / *,0 / *,0 / *,0 / 13,0 / 7,0 / *,* / *,0 / *,* / 14,0 / *,0 / *,,0 / *,0 / 10,* / *,* / *,,* / *,9 / 10,* / *,* / *,,* / *,7 / 10,* / *,* / *,,0 / *,5 / 10,* / 14,0 / 14,5 / 14,* / 14,* / 14,* / 14,0 / 14,0 / 14,* / 14,0 / 14,5 / 14,0 / 14,* / 14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,MI
223,HENRY FORD REPRODUCTIVE MEDICINE,,TROY,MICHIGAN,"Ahmad Hammoud, MD",18,9,12,*,13 / 18,7 / 9,* / 12,0 / *,10 / 18,6 / 9,* / 12,0 / *,18,9,10,*,13 / 18,7 / 9,* / 10,0 / *,10 / 18,6 / 9,* / 10,0 / *,17,10,11,*,13 / 17,7 / 10,* / 11,0 / *,10 / 17,6 / 10,* / 11,0 / *,1.4,1.3,4.0,,12 / 16,5 / 7,* / 7,0 / *,12 / 16,5 / 7,* / 7,0 / *,12 / 16,5 / 7,* / 7,0 / *,1.0,1.0,1.4,1.0,0.9,1.1,0.6,0.5,0,0,*,0,,,* / *,,,,* / *,,17,18,15,12,62,0 / 11,* / 10,0 / 10,0 / 5,2.8%,* / 17,* / 17,* / 15,5 / 12,14.8%,* / 17,* / 18,* / 15,* / 12,12.9%,0 / 10,0 / 8,0 / 7,0 / 5,0.0%,6 / 10,7 / 8,5 / 7,* / 5,73.3%,9 / 10,8 / 8,7 / 7,* / 5,93.3%,* / 10,5 / 8,5 / 7,* / 5,50.0%,40%,5%,6%,11%,0%,2%,0%,5%,39%,3%,32%,6%,11%,Yes,No,Yes,Yes,No,Yes,Yes,0,MI
224,REPRODUCTIVE MEDICINE ASSOCIATES OF MICHIGAN,,TROY,MICHIGAN,"Brad T. Miller, MD",160,68,54,58,59.4%,48.5%,22.2%,3.4%,54.4%,45.6%,22.2%,3.4%,143,64,42,39,66.4%,51.6%,28.6%,5.1%,60.8%,48.4%,28.6%,5.1%,179,59,37,24,53.1%,55.9%,32.4%,8.3%,48.6%,52.5%,32.4%,8.3%,1.7,2.1,4.5,29.0,67.2%,58.5%,5 / 17,0 / 18,68.9%,63.4%,7 / 17,* / 18,70.6%,65.9%,7 / 17,* / 18,1.1,1.2,1.5,2.1,1.2,0.9,0.8,0.4,11,16,49,9,6 / 11,10 / 16,38.8%,5 / 9,6 / 11,10 / 16,32.7%,* / 9,355,204,189,131,879,8.5%,15.5%,16.3%,20.4%,13.3%,12.4%,8.0%,11.0%,17.4%,11.8%,3.7%,3.9%,5.8%,1.5%,3.9%,1.2%,0.0%,4.0%,0.0%,1.2%,64.5%,68.1%,74.3%,62.7%,66.8%,69.8%,71.9%,78.2%,71.1%,72.0%,19.8%,40.0%,42.6%,24.1%,29.4%,42%,13%,12%,15%,5%,5%,0%,18%,20%,6%,48%,44%,7%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,MI
225,"MICHIGAN CENTER FOR FERTILITY AND WOMEN'S HEALTH, PLC",,WARREN,MICHIGAN,"Carole L. Kowalczyk, MD",95,61,45,27,34.7%,26.2%,13.3%,7.4%,28.4%,24.6%,11.1%,7.4%,84,55,38,22,39.3%,29.1%,15.8%,9.1%,32.1%,27.3%,13.2%,9.1%,92,46,12,5,35.9%,34.8%,6 / 12,* / 5,29.3%,32.6%,5 / 12,* / 5,2.9,3.8,7.5,13.5,37.7%,25.5%,14.3%,* / 14,39.1%,29.8%,17.9%,* / 14,39.1%,29.8%,17.9%,* / 14,1.1,1.1,1.3,1.4,1.0,0.8,0.3,0.2,*,7,24,*,* / *,* / 7,33.3%,0 / *,* / *,* / 7,33.3%,0 / *,223,121,85,74,503,9.9%,16.1%,22.6%,28.9%,16.7%,10.4%,8.9%,11.0%,14.3%,10.7%,1.3%,2.5%,8.2%,1.4%,2.8%,0.0%,1.6%,0.0%,0.0%,0.4%,83.6%,92.2%,85.7%,91.2%,87.0%,89.1%,81.3%,80.0%,50.0%,80.8%,51.6%,75.0%,74.3%,58.8%,61.3%,26%,4%,9%,25%,3%,2%,0%,17%,37%,5%,4%,1%,12%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,MI
226,CCRM MINNEAPOLIS,,EDINA,MINNESOTA,"April E. Batcheller, MD",174,107,80,66,67.8%,47.7%,36.3%,16.7%,58.6%,43.0%,33.8%,16.7%,168,98,72,56,70.2%,52.0%,40.3%,19.6%,60.7%,46.9%,37.5%,19.6%,178,85,54,20,66.3%,60.0%,53.7%,55.0%,57.3%,54.1%,50.0%,55.0%,1.5,2.1,2.8,6.0,75.0%,52.2%,38.8%,21.6%,79.7%,55.2%,46.9%,21.6%,79.7%,55.2%,46.9%,21.6%,1.1,1.2,1.2,1.1,1.1,0.8,0.7,0.3,9,*,49,*,8 / 9,* / *,69.4%,* / *,8 / 9,* / *,67.3%,* / *,493,285,218,211,"1,207",4.4%,4.0%,8.7%,6.6%,5.5%,4.8%,6.1%,7.7%,17.3%,7.8%,5.1%,4.9%,3.7%,0.5%,4.0%,2.2%,9.0%,2.8%,8.1%,4.8%,93.4%,97.0%,93.6%,84.9%,93.0%,94.3%,95.5%,92.7%,73.3%,91.0%,73.4%,85.7%,83.5%,74.4%,78.5%,28%,5%,6%,13%,6%,70%,1%,27%,49%,3%,80%,31%,2%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,MN
227,"MIDWEST CENTER FOR REPRODUCTIVE HEALTH, PA",,MAPLE GROVE,MINNESOTA,"Randle S. Corfman, MD, PhD",103,29,16,*,69.9%,58.6%,7 / 16,0 / *,49.5%,41.4%,* / 16,0 / *,100,28,16,*,72.0%,60.7%,7 / 16,0 / *,51.0%,42.9%,* / 16,0 / *,119,31,19,0,60.5%,54.8%,7 / 19,,42.9%,38.7%,* / 19,,1.4,1.7,2.3,,69.7%,66.7%,7 / 15,0 / *,71.9%,66.7%,7 / 15,0 / *,71.9%,66.7%,7 / 15,0 / *,1.0,1.0,1.0,1.0,1.2,1.0,1.2,0.0,5,7,5,11,* / 5,5 / 7,* / 5,9 / 11,* / 5,* / 7,* / 5,9 / 11,140,49,34,12,235,0.0%,3.8%,4.8%,0 / *,1.5%,0.7%,2.1%,3.0%,* / 12,1.7%,0.0%,2.0%,0.0%,0 / 12,0.4%,0.8%,0.0%,0.0%,0 / 11,0.5%,36.1%,50.0%,41.9%,* / 11,39.7%,89.5%,81.8%,74.2%,6 / 11,84.0%,5.3%,4.5%,3.2%,0 / 11,4.6%,34%,14%,21%,62%,<1%,2%,0%,2%,5%,11%,3%,0%,4%,Yes,No,Yes,Yes,No,Yes,Yes,0,MN
228,CENTER FOR REPRODUCTIVE MEDICINE,ADVANCED REPRODUCTIVE TECHNOLOGIES,MINNEAPOLIS,MINNESOTA,"Mark A. Damario, MD",257,142,120,72,68.1%,49.3%,38.3%,11.1%,61.1%,43.0%,35.8%,11.1%,243,133,107,59,72.0%,52.6%,43.0%,13.6%,64.6%,45.9%,40.2%,13.6%,295,149,98,35,59.3%,47.0%,46.9%,22.9%,53.2%,40.9%,43.9%,22.9%,1.5,2.0,2.6,9.0,68.0%,43.9%,40.6%,21.2%,73.2%,56.1%,48.4%,21.2%,73.2%,56.1%,48.4%,21.2%,1.1,1.2,1.3,1.4,1.1,1.0,0.8,0.5,21,6,67,5,66.7%,* / 6,56.7%,* / 5,61.9%,* / 6,49.3%,* / 5,579,329,297,191,"1,396",4.8%,5.9%,9.5%,13.2%,7.1%,9.6%,6.3%,7.8%,12.7%,8.8%,3.3%,2.4%,1.7%,0.5%,2.4%,1.0%,3.8%,5.7%,7.4%,3.4%,61.3%,68.9%,79.0%,79.5%,68.8%,66.6%,66.4%,79.0%,63.1%,68.4%,25.1%,33.6%,55.1%,39.3%,34.6%,24%,6%,10%,12%,4%,1%,1%,14%,21%,2%,11%,2%,24%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,MN
